L/W,H/P,Wi/Wo,P/Wu,CPK obs
4.03,0.49919,1,1.3125,1.10811
4.03,0.50582,1,1.3125,1.133265
4.03,0.52373,1,1.3125,1.11834
4.03,0.54087,1,1.3125,1.099995
5,0.151575,1.57142857142857,1.33333333333333,2.50947756602133
5,0.155,1.57142857142857,1.33333333333333,2.50068549267118
5,0.178325,1.57142857142857,1.33333333333333,2.38678011210654
5,0.1933,1.57142857142857,1.33333333333333,2.29867901666492
5,0.204175,1.57142857142857,1.33333333333333,2.25170585594842
5,0.2239,1.57142857142857,1.33333333333333,2.15474999720599
5,0.2493,1.57142857142857,1.33333333333333,2.04948939490071
5,0.26155,1.57142857142857,1.33333333333333,1.99016442019794
5,0.286925,1.57142857142857,1.33333333333333,1.88110363180478
5,0.291025,1.57142857142857,1.33333333333333,1.87090754662515
5,0.299175,1.57142857142857,1.33333333333333,1.83097374019073
5,0.310975,1.57142857142857,1.33333333333333,1.79575855869095
5,0.34725,1.57142857142857,1.33333333333333,1.67263866615389
5,0.390325,1.57142857142857,1.33333333333333,1.563939363332
5,0.393275,1.57142857142857,1.33333333333333,1.55191162098296
5,0.433175,1.57142857142857,1.33333333333333,1.4827999820335
5,0.47695,1.57142857142857,1.33333333333333,1.39769544733657
5,0.481025,1.57142857142857,1.33333333333333,1.3867531594415
5,0.523875,1.57142857142857,1.33333333333333,1.31213781640397
5,0.527975,1.57142857142857,1.33333333333333,1.30892128280553
5,0.591225,1.57142857142857,1.33333333333333,1.2169927496626
5,0.314533333333333,1.57142857142857,1,1.96463808137278
5,0.328733333333333,1.57142857142857,1,1.89645929290096
5,0.346866666666667,1.57142857142857,1,1.8549273352184
5,0.386466666666667,1.57142857142857,1,1.75799868285737
5,0.410933333333333,1.57142857142857,1,1.70216568362321
5,0.427566666666667,1.57142857142857,1,1.65467392049665
5,0.440266666666667,1.57142857142857,1,1.64476160477281
5,0.467466666666667,1.57142857142857,1,1.60513343798079
5,0.481966666666667,1.57142857142857,1,1.57574465183777
5,0.493733333333333,1.57142857142857,1,1.56899836516245
5,0.526066666666667,1.57142857142857,1,1.5190089957826
5,0.540266666666667,1.57142857142857,1,1.48468770691514
5,0.5838,1.57142857142857,1,1.42150663457224
5,0.5959,1.57142857142857,1,1.41162920264476
5,0.644833333333333,1.57142857142857,1,1.34346627484551
5,0.690766666666667,1.57142857142857,1,1.28577254823119
5,0.7071,1.57142857142857,1,1.27329925791859
5,0.732466666666667,1.57142857142857,1,1.24034317327674
5,0.7506,1.57142857142857,1,1.22054665541668
5,0.814966666666667,1.57142857142857,1,1.16111341197914
